timestamp,gpu_index,temperature_C,utilization_gpu_percent,power_W
2025-09-24T03:42:02.979Z,7, 24, 0, 117.03
2025-09-24T03:42:03.222Z,0, 25, 5, 119.80
2025-09-24T03:42:03.222Z,1, 45, 0, 136.70
2025-09-24T03:42:03.222Z,2, 25, 0, 126.05
2025-09-24T03:42:03.222Z,3, 24, 0, 116.18
2025-09-24T03:42:03.222Z,4, 26, 6, 117.85
2025-09-24T03:42:03.222Z,5, 23, 0, 117.30
2025-09-24T03:42:03.222Z,6, 25, 0, 118.21
2025-09-24T03:42:03.222Z,7, 24, 0, 117.00
2025-09-24T03:42:03.471Z,0, 25, 0, 119.79
2025-09-24T03:42:03.471Z,1, 45, 2, 136.99
2025-09-24T03:42:03.471Z,2, 25, 0, 126.18
2025-09-24T03:42:03.471Z,3, 24, 0, 116.27
2025-09-24T03:42:03.471Z,4, 26, 0, 117.86
2025-09-24T03:42:03.471Z,5, 23, 0, 117.39
2025-09-24T03:42:03.471Z,6, 25, 0, 118.32
2025-09-24T03:42:03.471Z,7, 24, 0, 117.01
2025-09-24T03:42:03.721Z,0, 25, 0, 119.79
2025-09-24T03:42:03.721Z,1, 45, 5, 137.12
2025-09-24T03:42:03.721Z,2, 25, 0, 126.15
2025-09-24T03:42:03.721Z,3, 24, 0, 116.27
2025-09-24T03:42:03.721Z,4, 26, 0, 117.85
2025-09-24T03:42:03.721Z,5, 23, 0, 117.39
2025-09-24T03:42:03.721Z,6, 25, 0, 118.33
2025-09-24T03:42:03.721Z,7, 24, 0, 116.88
2025-09-24T03:42:03.992Z,0, 25, 0, 119.75
2025-09-24T03:42:03.992Z,1, 45, 0, 137.24
2025-09-24T03:42:03.992Z,2, 25, 0, 126.12
2025-09-24T03:42:03.992Z,3, 24, 0, 116.29
2025-09-24T03:42:03.992Z,4, 26, 0, 117.85
2025-09-24T03:42:03.992Z,5, 23, 0, 117.41
2025-09-24T03:42:03.992Z,6, 25, 0, 118.33
2025-09-24T03:42:03.992Z,7, 24, 0, 116.89
2025-09-24T03:42:04.272Z,0, 25, 0, 119.72
2025-09-24T03:42:04.272Z,1, 45, 0, 137.34
2025-09-24T03:42:04.272Z,2, 25, 0, 126.12
2025-09-24T03:42:04.272Z,3, 24, 0, 116.28
2025-09-24T03:42:04.272Z,4, 26, 0, 117.81
2025-09-24T03:42:04.272Z,5, 23, 0, 117.41
2025-09-24T03:42:04.272Z,6, 25, 0, 118.37
2025-09-24T03:42:04.272Z,7, 24, 0, 116.92
2025-09-24T03:42:04.545Z,0, 25, 0, 119.72
2025-09-24T03:42:04.545Z,1, 46, 0, 137.32
2025-09-24T03:42:04.545Z,2, 25, 0, 126.03
2025-09-24T03:42:04.545Z,3, 24, 0, 116.18
2025-09-24T03:42:04.545Z,4, 26, 0, 117.84
2025-09-24T03:42:04.545Z,5, 23, 0, 117.34
2025-09-24T03:42:04.545Z,6, 25, 0, 118.26
2025-09-24T03:42:04.545Z,7, 24, 0, 116.93
2025-09-24T03:42:04.807Z,0, 25, 0, 119.77
2025-09-24T03:42:04.807Z,1, 46, 0, 137.41
2025-09-24T03:42:04.807Z,2, 25, 0, 126.06
2025-09-24T03:42:04.807Z,3, 24, 0, 116.20
2025-09-24T03:42:04.807Z,4, 26, 0, 117.83
2025-09-24T03:42:04.807Z,5, 23, 0, 117.38
2025-09-24T03:42:04.807Z,6, 25, 0, 118.27
2025-09-24T03:42:04.807Z,7, 24, 0, 116.96
2025-09-24T03:42:05.104Z,0, 25, 0, 119.90
2025-09-24T03:42:05.104Z,1, 46, 0, 137.62
2025-09-24T03:42:05.104Z,2, 25, 0, 126.14
2025-09-24T03:42:05.104Z,3, 24, 0, 116.24
2025-09-24T03:42:05.104Z,4, 26, 1, 117.91
2025-09-24T03:42:05.104Z,5, 23, 0, 117.39
2025-09-24T03:42:05.104Z,6, 25, 0, 118.30
2025-09-24T03:42:05.104Z,7, 24, 0, 117.07
2025-09-24T03:42:05.684Z,0, 25, 0, 119.93
2025-09-24T03:42:05.684Z,1, 46, 3, 137.80
2025-09-24T03:42:05.684Z,2, 25, 3, 126.18
2025-09-24T03:42:05.684Z,3, 24, 3, 116.37
2025-09-24T03:42:05.684Z,4, 26, 0, 117.99
2025-09-24T03:42:05.684Z,5, 23, 3, 117.44
2025-09-24T03:42:05.684Z,6, 25, 3, 118.38
2025-09-24T03:42:05.684Z,7, 24, 0, 117.07
2025-09-24T03:42:06.312Z,0, 25, 0, 119.85
2025-09-24T03:42:06.312Z,1, 46, 0, 138.10
2025-09-24T03:42:06.312Z,2, 25, 0, 126.25
2025-09-24T03:42:06.312Z,3, 24, 0, 116.31
2025-09-24T03:42:06.312Z,4, 26, 0, 117.94
2025-09-24T03:42:06.312Z,5, 23, 0, 117.47
2025-09-24T03:42:06.312Z,6, 25, 0, 118.38
2025-09-24T03:42:06.312Z,7, 24, 0, 117.12
2025-09-24T03:42:07.531Z,0, 25, 0, 119.83
2025-09-24T03:42:07.531Z,1, 46, 0, 138.39
2025-09-24T03:42:07.531Z,2, 25, 0, 126.30
2025-09-24T03:42:07.531Z,3, 24, 0, 116.40
2025-09-24T03:42:07.531Z,4, 26, 0, 118.15
2025-09-24T03:42:07.531Z,5, 23, 0, 117.55
2025-09-24T03:42:07.531Z,6, 25, 0, 118.63
2025-09-24T03:42:07.531Z,7, 24, 0, 117.14
2025-09-24T03:42:08.744Z,0, 25, 0, 119.83
2025-09-24T03:42:08.744Z,1, 46, 0, 138.38
2025-09-24T03:42:08.744Z,2, 25, 0, 126.32
2025-09-24T03:42:08.744Z,3, 24, 0, 116.33
2025-09-24T03:42:08.744Z,4, 26, 0, 118.01
2025-09-24T03:42:08.744Z,5, 23, 0, 117.53
2025-09-24T03:42:08.744Z,6, 25, 0, 118.43
2025-09-24T03:42:08.744Z,7, 24, 0, 117.14
2025-09-24T03:42:09.253Z,0, 25, 0, 120.58
2025-09-24T03:42:09.253Z,1, 47, 0, 139.48
2025-09-24T03:42:09.253Z,2, 26, 4, 127.91
2025-09-24T03:42:09.253Z,3, 25, 4, 117.92
2025-09-24T03:42:09.253Z,4, 27, 0, 119.66
