MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1717;http://www.wikidata.org/entity/Q1417396;https://de.wikipedia.org/wiki/Volker_Freiherr_Truchse%C3%9F_von_und_zu_Wetzhausen;Volker Freiherr Truchseß von und zu Wetzhausen;;28.02.1936 00:00;männlich;['Politiker'];;
1718;http://www.wikidata.org/entity/Q1903988;https://de.wikipedia.org/wiki/Martin_Haushofer;Martin Haushofer;Haushofer;15.03.1936 00:00;männlich;['Landwirt', 'Politiker'];;
1719;http://www.wikidata.org/entity/Q881913;https://de.wikipedia.org/wiki/Blasius_Th%C3%A4tter;Blasius Thätter;;23.03.1936 00:00;männlich;['Politiker'];;
1720;http://www.wikidata.org/entity/Q1611673;https://de.wikipedia.org/wiki/Hermann_Josef_Niedermeier;Hermann Josef Niedermeier;Niedermeier;26.05.1936 00:00;männlich;['Politiker'];;
1721;http://www.wikidata.org/entity/Q1384578;https://de.wikipedia.org/wiki/Kurt_Sieber;Kurt Sieber;Sieber;20.06.1936 00:00;männlich;['Politiker'];;
1722;http://www.wikidata.org/entity/Q2149651;https://de.wikipedia.org/wiki/Richard_G%C3%BCrteler;Richard Gürteler;Gürteler;23.06.1936 00:00;männlich;['Politiker'];;
1723;http://www.wikidata.org/entity/Q2577327;https://de.wikipedia.org/wiki/Willi_Morgenschweis;Willi Morgenschweis;Morgenschweis;01.07.1936 00:00;männlich;['Politiker'];;
1724;http://www.wikidata.org/entity/Q1889305;https://de.wikipedia.org/wiki/Manfred_Dumann;Manfred Dumann;;07.07.1936 00:00;männlich;['Politiker'];;
1725;http://www.wikidata.org/entity/Q998522;https://de.wikipedia.org/wiki/Herbert_Hofmann_(Politiker);Herbert Hofmann;Hofmann;16.07.1936 00:00;männlich;['Politiker'];;
1726;http://www.wikidata.org/entity/Q1417742;https://de.wikipedia.org/wiki/Klaus_Hahnzog;Klaus Hahnzog;;07.08.1936 00:00;männlich;['Politiker', 'Rechtsanwalt', 'Richter'];;
