_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
258.6389082,,1779640278.3178234,1.1998318433761597,175,,,1680.0,,3740
259.6463758,,1779640279.3253925,1.1860028505325317,176,,,1690.0,,3740
260.632939,,1779640280.3119717,1.2184807062149048,177,,,1700.0,,3740
261.6118923,,1779640281.2909095,1.1839439868927002,178,,,1710.0,,3740
262.6052211,,1779640282.2842338,1.2311058044433594,179,,,1720.0,,3740
263.5966562,,1779640283.2761774,1.2142552137374878,180,,,1730.0,,3740
264.590942,,1779640284.2698762,1.1939183473587036,181,,,1740.0,,3740
278.4731882,,1779640298.1511855,,182,1.4764491319656372,0.0007708228984017721,1750.0,1.1239311695098877,3740
278.5784383,,1779640298.2574356,1.1512155532836914,183,,,1750.0,,3740
279.5735684,,1779640299.2525847,1.2136214971542358,184,,,1760.0,,3740
280.5803055,,1779640300.2590725,1.1900031566619873,185,,,1770.0,,3740
281.6347576,,1779640301.3137708,1.214512586593628,186,,,1780.0,,3740
282.6690104,,1779640302.3478699,1.2107038497924805,187,,,1790.0,,3740
283.7219101,,1779640303.400927,1.1912449598312378,188,,,1800.0,,3740
284.7217927,,1779640304.4008088,1.1792552471160889,189,,,1810.0,,3740
285.7478145,,1779640305.4268305,1.1820307970046997,190,,,1820.0,,3740
286.7558448,,1779640306.4348605,1.1719948053359985,191,,,1830.0,,3740
287.7623397,,1779640307.441357,1.199244737625122,192,,,1840.0,,3740
288.759421,,1779640308.4383135,1.2076386213302612,193,,,1850.0,,3740
289.7513213,,1779640309.4303355,1.1789777278900146,194,,,1860.0,,3740
290.7624507,,1779640310.4419718,1.1675059795379639,195,,,1870.0,,3740
291.7539275,,1779640311.4327164,1.156762957572937,196,,,1880.0,,3740
292.7997379,,1779640312.4778118,1.1860588788986206,197,,,1890.0,,3740
293.8626703,,1779640313.5415013,1.1582252979278564,198,,,1900.0,,3740
294.9113937,,1779640314.5903652,1.1770662069320679,199,,,1910.0,,3740
295.8960033,,1779640315.5755243,1.17689847946167,200,,,1920.0,,3740
296.9025537,,1779640316.581565,1.1754190921783447,201,,,1930.0,,3740
297.9102597,,1779640317.588611,1.195603370666504,202,,,1940.0,,3740
298.9035659,,1779640318.5824566,1.205588936805725,203,,,1950.0,,3740
