_runtime,train/step_loss,lr,_timestamp,iter,_step,val/loss,train/loss,Sample Generation,seed
754.4698005,0.9806594252586365,,1779708798.121176,2780.0,290,,,,6242
756.3099434,0.9820330142974854,,1779708799.9608116,2790.0,291,,,,6242
758.2396889,0.9799578785896301,,1779708801.8900867,2800.0,292,,,,6242
760.292366,0.973409116268158,,1779708803.9431772,2810.0,293,,,,6242
762.3102681,0.9660728573799133,,1779708805.960205,2820.0,294,,,,6242
764.2043971,0.9780257940292358,,1779708807.8550851,2830.0,295,,,,6242
765.9787939,0.9605264067649841,,1779708809.6292312,2840.0,296,,,,6242
767.8127926,0.9778567552566528,,1779708811.46339,2850.0,297,,,,6242
769.6205844,0.9579194784164429,,1779708813.270989,2860.0,298,,,,6242
771.4109562,0.958425760269165,,1779708815.0618248,2870.0,299,,,,6242
773.1702552,0.9567999839782715,,1779708816.821123,2880.0,300,,,,6242
774.9359982,0.9283757209777832,,1779708818.5858345,2890.0,301,,,,6242
776.737143,0.9732428193092346,,1779708820.387473,2900.0,302,,,,6242
778.5268395,0.952316164970398,,1779708822.1771145,2910.0,303,,,,6242
780.3096185,0.9493361115455627,,1779708823.9604864,2920.0,304,,,,6242
782.0926448,0.938115119934082,,1779708825.7420795,2930.0,305,,,,6242
783.84551,0.9626714587211609,,1779708827.4963782,2940.0,306,,,,6242
785.7085724,0.9500369429588318,,1779708829.3592587,2950.0,307,,,,6242
787.4780088,0.9299041032791138,,1779708831.128338,2960.0,308,,,,6242
789.1924904,0.957834005355835,,1779708832.8433607,2970.0,309,,,,6242
790.9222953,0.9434287548065186,,1779708834.5729911,2980.0,310,,,,6242
792.6369107,0.941415011882782,,1779708836.2877247,2990.0,311,,,,6242
819.3313579,,0.0004219625860160354,1779708862.981733,3000.0,312,1.6223688125610352,0.7895519137382507,,6242
819.5160799,0.9287557601928711,,1779708863.1668806,3000.0,313,,,,6242
821.3153647,0.9319829940795898,,1779708864.9658406,3010.0,314,,,,6242
823.3482138,0.9341046810150146,,1779708866.9984653,3020.0,315,,,,6242
825.4639981,0.944111704826355,,1779708869.1148667,3030.0,316,,,,6242
827.4991156,0.944728672504425,,1779708871.1498227,3040.0,317,,,,6242
829.2121879,0.947687566280365,,1779708872.862146,3050.0,318,,,,6242
830.9915625,0.9298029541969299,,1779708874.642432,3060.0,319,,,,6242
833.0790156,0.9303703308105469,,1779708876.72959,3070.0,320,,,,6242
835.1686283,0.9526769518852234,,1779708878.818913,3080.0,321,,,,6242
837.1143485,0.9624940156936646,,1779708880.7652183,3090.0,322,,,,6242
838.878191,0.9260225296020508,,1779708882.5290594,3100.0,323,,,,6242
840.5964829,0.9144459962844849,,1779708884.2473516,3110.0,324,,,,6242
842.2960649,0.9291353225708008,,1779708885.9467256,3120.0,325,,,,6242
844.0246097,0.923816442489624,,1779708887.6747565,3130.0,326,,,,6242
845.712352,0.9472056031227112,,1779708889.3623168,3140.0,327,,,,6242
847.4654866,0.9163816571235657,,1779708891.1163478,3150.0,328,,,,6242
849.3476245,0.8937814831733704,,1779708892.9984941,3160.0,329,,,,6242
851.0825058,0.9387151002883911,,1779708894.7333755,3170.0,330,,,,6242
852.8484881,0.8884332776069641,,1779708896.499243,3180.0,331,,,,6242
854.5772691,0.9105366468429565,,1779708898.2273262,3190.0,332,,,,6242
856.277682,0.9083045721054077,,1779708899.9279482,3200.0,333,,,,6242
857.9981315,0.9123911261558533,,1779708901.6480432,3210.0,334,,,,6242
859.8122367,0.9250967502593994,,1779708903.462475,3220.0,335,,,,6242
861.4875563,0.877322256565094,,1779708905.1379468,3230.0,336,,,,6242
863.1722342,0.9020023941993713,,1779708906.8224804,3240.0,337,,,,6242
888.4372323,,0.00035475231739709885,1779708932.0876079,3250.0,338,1.6538411378860474,0.7375538349151611,,6242
888.6057553,0.9165034890174866,,1779708932.256624,3250.0,339,,,,6242
890.2492516,0.9067687392234802,,1779708933.9001195,3260.0,340,,,,6242
891.8929521,0.9266058206558228,,1779708935.5438216,3270.0,341,,,,6242
893.5401142,0.8846911191940308,,1779708937.1906872,3280.0,342,,,,6242
