lr,_runtime,_timestamp,train/loss,train/step_loss,iter,Sample Generation,_step,val/loss,seed
,660.2046031,1779629857.4455037,,1.0052374601364136,2180.0,,227,,3242
,662.2820984,1779629859.523645,,0.990264892578125,2190.0,,228,,3242
,664.3723205,1779629861.6134138,,0.9785307049751282,2200.0,,229,,3242
,666.4601185,1779629863.701467,,0.9796003103256226,2210.0,,230,,3242
,668.5308948,1779629865.772227,,0.9674386978149414,2220.0,,231,,3242
,670.5774974,1779629867.8195531,,0.995586633682251,2230.0,,232,,3242
,672.6367903,1779629869.8780706,,0.9917418956756592,2240.0,,233,,3242
0.0006360213829156177,699.5807311,1779629896.8212802,0.8309882879257202,,2250.0,,234,1.5731457471847534,3242
,699.7922627,1779629897.0338116,,0.9675982594490051,2250.0,,235,,3242
,701.8626348,1779629899.1046903,,0.9609097838401794,2260.0,,236,,3242
,703.9569492,1779629901.1982014,,0.9791933298110962,2270.0,,237,,3242
,706.0112128,1779629903.2521076,,0.9615169167518616,2280.0,,238,,3242
,708.0575039,1779629905.2990549,,0.9490447640419006,2290.0,,239,,3242
,710.1271309,1779629907.3686497,,0.9772742986679077,2300.0,,240,,3242
,712.188682,1779629909.4303098,,0.9692027568817139,2310.0,,241,,3242
,714.2654876,1779629911.5070348,,0.9710174798965454,2320.0,,242,,3242
,716.3396686,1779629913.5811265,,0.9610414505004883,2330.0,,243,,3242
,718.3991821,1779629915.6407328,,0.9592671394348145,2340.0,,244,,3242
,720.4699841,1779629917.711094,,0.9470773339271545,2350.0,,245,,3242
,722.5410765,1779629919.783132,,0.9509665369987488,2360.0,,246,,3242
,724.6275473,1779629921.8686264,,0.9435861706733704,2370.0,,247,,3242
,726.7010743,1779629923.942624,,0.9561742544174194,2380.0,,248,,3242
,728.7777332,1779629926.0187166,,0.9578853249549866,2390.0,,249,,3242
,730.853158,1779629928.0945036,,0.9390445947647095,2400.0,,250,,3242
,732.9359076,1779629930.1768687,,0.9381067752838135,2410.0,,251,,3242
,735.0241306,1779629932.2652886,,0.9562478065490723,2420.0,,252,,3242
,736.9735803,1779629934.2151306,,0.9485061764717102,2430.0,,253,,3242
,738.9711949,1779629936.2127447,,0.934016227722168,2440.0,,254,,3242
,741.0050821,1779629938.2463872,,0.9132243990898132,2450.0,,255,,3242
,743.0008994,1779629940.242451,,0.9533388018608093,2460.0,,256,,3242
,744.9833849,1779629942.2249327,,0.930744469165802,2470.0,,257,,3242
,746.9719114,1779629944.213458,,0.9142598509788513,2480.0,,258,,3242
,749.0359922,1779629946.27718,,0.9305773973464966,2490.0,,259,,3242
0.000564423209907245,776.3630065,1779629973.603923,0.7556825876235962,,2500.0,,260,1.605880618095398,3242
,776.5812748,1779629973.8228238,,0.9142301678657532,2500.0,,261,,3242
,778.6857437,1779629975.927079,,0.9398805499076843,2510.0,,262,,3242
,780.7833596,1779629978.0246768,,0.9155142307281494,2520.0,,263,,3242
,782.8858373,1779629980.1273866,,0.9234808087348938,2530.0,,264,,3242
,784.9779016,1779629982.2182224,,0.9366534948348999,2540.0,,265,,3242
,787.0635892,1779629984.3046434,,0.9200125336647034,2550.0,,266,,3242
,789.1672082,1779629986.4080787,,0.9020574688911438,2560.0,,267,,3242
,791.2550512,1779629988.4956014,,0.8882202506065369,2570.0,,268,,3242
,793.3550493,1779629990.5965953,,0.9179747104644775,2580.0,,269,,3242
,795.4532914,1779629992.694386,,0.9124665856361389,2590.0,,270,,3242
,797.5533689,1779629994.794919,,0.9123581051826477,2600.0,,271,,3242
,799.6499928,1779629996.8915403,,0.8829874992370605,2610.0,,272,,3242
,801.7297093,1779629998.9712594,,0.8977492451667786,2620.0,,273,,3242
,803.8155084,1779630001.0565622,,0.8888444304466248,2630.0,,274,,3242
,805.9206112,1779630003.1621532,,0.9158438444137573,2640.0,,275,,3242
,808.0201346,1779630005.26113,,0.9047510027885437,2650.0,,276,,3242
,810.1133377,1779630007.3545907,,0.8889405727386475,2660.0,,277,,3242
,812.1769851,1779630009.4185252,,0.8722735643386841,2670.0,,278,,3242
,814.1746898,1779630011.4152987,,0.8955333828926086,2680.0,,279,,3242
,816.1826179,1779630013.4232907,,0.8937055468559265,2690.0,,280,,3242
,818.2129705,1779630015.4534748,,0.8857385516166687,2700.0,,281,,3242
,820.2945932,1779630017.5358922,,0.8830763101577759,2710.0,,282,,3242
,822.3824623,1779630019.6238122,,0.8902875781059265,2720.0,,283,,3242
,824.4699622,1779630021.7115119,,0.8660004138946533,2730.0,,284,,3242
,826.5432278,1779630023.7852836,,0.8926156163215637,2740.0,,285,,3242
0.0004924552772419723,853.677443,1779630050.9189582,0.6927463412284851,,2750.0,,286,1.6578660011291504,3242
,853.8896296,1779630051.1312172,,0.8809506893157959,2750.0,,287,,3242
,855.9621667,1779630053.2036972,,0.8836807608604431,2760.0,,288,,3242
,858.056111,1779630055.2976618,,0.8402552604675293,2770.0,,289,,3242
,860.1322944,1779630057.373723,,0.8744010925292969,2780.0,,290,,3242
,862.1445541,1779630059.386105,,0.875622570514679,2790.0,,291,,3242
,864.1511618,1779630061.3926551,,0.8515641689300537,2800.0,,292,,3242
,866.2439555,1779630063.4853816,,0.8695429563522339,2810.0,,293,,3242
,868.3367314,1779630065.5779867,,0.8881327509880066,2820.0,,294,,3242
,870.4289676,1779630067.6705186,,0.8617365956306458,2830.0,,295,,3242
,872.5185639,1779630069.7601106,,0.866601824760437,2840.0,,296,,3242
,874.5995838,1779630071.8410606,,0.8631985783576965,2850.0,,297,,3242
,876.6936339,1779630073.9349463,,0.8494588136672974,2860.0,,298,,3242
,878.7688819,1779630076.0109377,,0.8462448120117188,2870.0,,299,,3242
,880.8739584,1779630078.115299,,0.8513802886009216,2880.0,,300,,3242
,882.9647509,1779630080.2063,,0.8372911214828491,2890.0,,301,,3242
,885.0571239,1779630082.2981288,,0.8307823538780212,2900.0,,302,,3242
,887.1387636,1779630084.3795679,,0.849500834941864,2910.0,,303,,3242
,889.2250019,1779630086.466553,,0.8502945303916931,2920.0,,304,,3242
,891.3068428,1779630088.5482333,,0.8225966691970825,2930.0,,305,,3242
,893.4145669,1779630090.6561162,,0.8079187870025635,2940.0,,306,,3242
,895.4967216,1779630092.7382703,,0.8478718400001526,2950.0,,307,,3242
,897.5825941,1779630094.824126,,0.833106279373169,2960.0,,308,,3242
,899.6616567,1779630096.9022014,,0.8696929812431335,2970.0,,309,,3242
,901.7617528,1779630099.0029862,,0.8333417773246765,2980.0,,310,,3242
,903.8552105,1779630101.0967598,,0.8284941911697388,2990.0,,311,,3242
0.0004219625860160354,931.1788345,1779630128.4188695,0.6279557943344116,,3000.0,,312,1.714040994644165,3242
,931.3949641,1779630128.636046,,0.8531795740127563,3000.0,,313,,3242
,933.5307235,1779630130.7722733,,0.8392210602760315,3010.0,,314,,3242
,935.6132904,1779630132.8536384,,0.8551586270332336,3020.0,,315,,3242
,937.7208463,1779630134.962397,,0.8279738426208496,3030.0,,316,,3242
,939.8385906,1779630137.0801396,,0.7964583039283752,3040.0,,317,,3242
,941.9590288,1779630139.1999714,,0.8488878607749939,3050.0,,318,,3242
,944.0776496,1779630141.3177516,,0.8332157135009766,3060.0,,319,,3242
,946.1813532,1779630143.4229023,,0.8336922526359558,3070.0,,320,,3242
,948.2985532,1779630145.5401025,,0.8032255172729492,3080.0,,321,,3242
,950.4054226,1779630147.6469002,,0.8159934878349304,3090.0,,322,,3242
,952.4833002,1779630149.7248447,,0.8112950325012207,3100.0,,323,,3242
,954.5660645,1779630151.8075511,,0.8079969882965088,3110.0,,324,,3242
,956.6589806,1779630153.9002848,,0.8183335065841675,3120.0,,325,,3242
,958.7637923,1779630156.0043428,,0.8159485459327698,3130.0,,326,,3242
,960.8483566,1779630158.089621,,0.8172702789306641,3140.0,,327,,3242
,962.9429519,1779630160.183883,,0.8148667812347412,3150.0,,328,,3242
,965.0468674,1779630162.288417,,0.7892885208129883,3160.0,,329,,3242
,967.0983457,1779630164.3398962,,0.8062486052513123,3170.0,,330,,3242
,969.1765062,1779630166.4180527,,0.8015896081924438,3180.0,,331,,3242
,971.2716429,1779630168.5131493,,0.7929775714874268,3190.0,,332,,3242
,973.3623171,1779630170.6032038,,0.7987248301506042,3200.0,,333,,3242
,975.4596209,1779630172.7011683,,0.782343864440918,3210.0,,334,,3242
,977.5598425,1779630174.801394,,0.7853066921234131,3220.0,,335,,3242
,979.6618241,1779630176.9018009,,0.7773343920707703,3230.0,,336,,3242
,981.7650334,1779630179.0065854,,0.7817375659942627,3240.0,,337,,3242
0.00035475231739709885,1008.5784531,1779630205.819499,0.5692172646522522,,3250.0,,338,1.7556354999542236,3242
,1008.793203,1779630206.0347526,,0.7929448485374451,3250.0,,339,,3242
,1010.899831,1779630208.1413832,,0.7791267037391663,3260.0,,340,,3242
,1012.9824944,1779630210.2240403,,0.7914033532142639,3270.0,,341,,3242
,1015.0999811,1779630212.3415306,,0.7843798398971558,3280.0,,342,,3242
,1017.1998778,1779630214.4414268,,0.7786768674850464,3290.0,,343,,3242
,1019.302705,1779630216.5442553,,0.7747459411621094,3300.0,,344,,3242
,1021.4169912,1779630218.659047,,0.7592260241508484,3310.0,,345,,3242
,1023.4945591,1779630220.735425,,0.76983243227005,3320.0,,346,,3242
,1025.5930023,1779630222.8345315,,0.7702911496162415,3330.0,,347,,3242
,1027.6862043,1779630224.926985,,0.7940627336502075,3340.0,,348,,3242
,1029.7977881,1779630227.0392265,,0.7697963118553162,3350.0,,349,,3242
,1031.8697126,1779630229.1104891,,0.7838455438613892,3360.0,,350,,3242
,1033.9665785,1779630231.208128,,0.7692930102348328,3370.0,,351,,3242
,1036.0604443,1779630233.3019047,,0.7557150721549988,3380.0,,352,,3242
,1038.1541567,1779630235.3952687,,0.7641921043395996,3390.0,,353,,3242
,1040.2543597,1779630237.4959073,,0.7790603637695312,3400.0,,354,,3242
,1042.352745,1779630239.5942924,,0.7477676868438721,3410.0,,355,,3242
,1044.4449156,1779630241.6862836,,0.7539732456207275,3420.0,,356,,3242
,1046.5585054,1779630243.7999487,,0.772947371006012,3430.0,,357,,3242
,1048.6690349,1779630245.910426,,0.7665745615959167,3440.0,,358,,3242
,1050.7568558,1779630247.9981244,,0.7671782374382019,3450.0,,359,,3242
,1052.8573076,1779630250.0986514,,0.7661423087120056,3460.0,,360,,3242
,1054.9594673,1779630252.2010179,,0.7585458755493164,3470.0,,361,,3242
